CORRECT_SENTENCE,ERRONEOUS_SENTENCE
Etikka ero xalee giigikko uyana giidosona,Etikka ero xalee giigikko uyana giidosona
Yaagiyogan xaliya makki giigissi wottidoogaa ushshinne bantta azinata wori aggidosona,Yaagiyogam xaliya makki giigizzi wottidoogaa ushshinneem bantta azinata wori aggidosona
Hegaappe guyiyan eta ishaykka he deren kawotinne issippe de I aggidosona,Hegaaffe guyiyam eta ishaykka he derem kawotinneem izziffe de I aggidosona
Qan  ishsheta,Qam  ishsheta
A kochchaa,A kochchaa
Ankkakkida anhaa maxa Oroobeena cituwa lacca,Ankkakkida anhaa maxa Oroobeena cituwa lacca
Abbaa yuushuwan gaashiya zera Gozddaa luhuwan paraa yedda,Abbaa yuushuwam gaashiya zera Gozddaa luhuwam paraa yedda
Arssaappe aafota Anhaara baaxeta,Arzzaaffe aafota Anhaara baaxeta
Abay ta gaashiya Arbbi ne baliya,Abay ta gaashiya Arbbi neem baliya
Boloso bollan booynay boxxin saxxa Haba denibaan kana korin toga,Boloso bollam booynay boxxim saxxa Haba denibaam kana korim toga
Bitta giddora biriliyaa yedda Ne naa bitanayo gumburo shukka,Bitta giddora biriliyaa yedda neem naa bitanayo gumburo shukka
Bitta giddora biriliya yeeda Ne na'a a bittanawu gniburo shukka,Bitta giddora biriliya yeeda neem na'a a bittanawu gniburo shukka
Bollso bollani booyinay boxxin saxxa Habaa denbban kana korin toga,Bollso bollani booyinay boxxim saxxa Habaa denbbam kana korim toga
Bollaara biya kafeera boolladiya yexxa Ne shooro eceree naatuura qaxaraa gela,Bollaara biya kafeera boolladiya yexxa neem shooro eceree naatuura qaxaraa gela
Bollara baydda bolloo bolloo ga Kuttuwa mirggaaciya oyqqada taawoo taawoo ga,Bossara bayzza bojjoo bojjoo gixxe Kuttuwa mirggaachchiya oyssada taawoo taawoo gona
Bulla booraa bulhaya Bule kumida oshinchchaa sorphpaya,Bussa booraa bulhaya Bule kumda ohsinccaa sorhffayite
Bambbaraase dulle baqqa caaqqa Ikisaama curqaa sikka maaya,Bambbaraase dusse baqqa caaqqa Ikisaama curqaa sikki maayona
Bolooso bollan bootta maggaaye Ne aawaa bo  an uncca guxune,Bolooso bossam booxxa maggaye Ne aawaa bo  am uncca guxne
Biittaa baqqada kulkkaa kessa Orggiya toggada yeehuwa alla,Biixxaa baqqada kulkkaa keessa Orggiya toggada yeehuwa assawusu
Balaabbaatiyan baqulo qachcha Ne aawaa bo  an tambbawa gindda,Balaabbaatiyam baqulo qachchawusu Ne aawaa bo  am tambbawa gimddite
Bollaara biya kafeera boolladiya kaa a Duguni biya ecereera qaxxaraa gela,Bossaara biya kafeera boossdiya kaa a Duguni biya etereera qaxxaraa gelona
Baala kare bambbariya baqqa duutta Bataskkaanaa curqqaa meecca maaya,Baala kare bambbariya baqa duuxxa Bataskkaanaa curqqaa meecca maayos
Bazzo mittay balla xalaala Ballanggo naati shaala xalaala,Bazzo mixxay bassa xalaala Bassanggontaso naati hsala xalaala
Boyna giddon bonggotta Boniya shiya amotta,Boyna giddom bonggotixxe Boniya hsiya amoxxawusu
Bolooso bollaara boynay booxxin saxxa Habaa dembban kanaa koorin toga,Bolooso bossaara boynay booxxim saxxawusu Habaa dembbam kanaa koorim togana
Boosooluwan bonggotta Bootta afalan xaaxetta,Boosooluwam bonggoxxa Boxxa afalam xaaxetixxe
Badalaa laala laala maxa Huuphiya qaaca qaaca waassa,Badalaa laala lassa maxa Huuhpiya qaaca qaaca waassawusu
Daamoota dafa Danqqala dafa,Daamoota dafa Danqqla daafa
Cururu giya hatiyo curqa tucca Cuchcha gellayyo oyshsha yeeda,Cururu giya hatiyo curqa tuucca Cuchcha gessayyo oyhzhsa yeedes
Damota gosse geella bookolo Neeninne ne machchiya manage pula ecere,Damota gosse gessa bookolo Neeni ne machchera manage pula etere
Dere kuma deeshshaa heemma Gilla kuma xaliya coomma,Dere kuma dehsaa heemma Gissa kuma xaliya coommasu
Dawuroppe daaha Cuuchchappe ooha,Dawuroffe dahha Cuuchchaffe oohite
Darbbippe yeddhin darbbee dalphphi gees Daamaa toggin caway coshkku gees,Darbbiffe yeddhim darbbee dalhphpi gees Damaa toggim caway cohskku gosona
Dugen duppaa ciggichcha Gasuubba gaammuwa colofa,Dugem duffaa ciggichcha Gasuubba gaammuwa colofawusu
Daamoota dafa Danaaqla gusa,Daamoota daafa Danaaqla guses
Dadaara darggetta Daqqiti xoossaara diiqetta,Dadaara darggexxa Daaqqiti xoossaara diiqettes
Dere kuma deeshshaa heemma Gilla kuma xaadhdhiya coomma,Dere kuma deehzhsaa heema Gissa kuma xaaggiya coommosona
Dalaa daddaha Dawuroppe anhaa kaysota,Dalaa daddha Dawuroffe anhaa kaysotawusu
Deeshshaa kaciyan dendda eqqa Ne aawaa puulunttan tama yedda,Deehzhsaa kaciyam demdda eqqasu Ne aawaa puulunxxam tama yeddes
Deriya dereqqa Deelliya borkkota,Deriya dereqqa Deessiya borkkotes
Deeshshay pude kiyees shin duge wodhdhenna Xoossay worees shin moogi erenna,Deehzhsay pude kiyees hsim duuge woggenna Xoossay worees hsim moogi eruku
Dugettaa duchchiduchcha Ne dulliya qoociqooca,Dugexxaa duchchiduchcha Ne dussiya qoociqoocas
Daday dalbbon xuuqqees Qaxxaraa muuxxa,Daday dalbbom xuuqes Qaxxaraa muuxxasu
Garaa keettay gaafunttiya Garaa woyshshay woxaxiya,Garaa keexxay gaafunttiya Gaaraa woyhzhsy woxaxiya
Gonggolo giddo goya Godare lime xiikka,Gonggolo giddo goyya Godare lime xiikkes
Gedettaa gechchigechcha Gembbellaa tamaadan poddipodda,Gedexxaa gechigechcha Gembbessaa tamaadam poddipoddes
Giyay giddoyin gela Cuuchchay xoqarssin kiya,Giyay giddoyim gela Cuchchay xoqarssim kiyes
Gedetta ubbay godare gede Uttidi doccennay shimaynne dulle,Gedexxa ubbay godare geede Uttidi doccennay hsimaymme dussexxa
Garbbiya qanxxin garbbee yobbu gees Daama toggin caway coshkku gees,Garbbiya qanxxim garbbee yobbu giis Daama toggim caway cohskku gises
Hafafiya hafafiyo Haraphiya ne aayiyo,Hafafiya hafafiyo Harhpiya ne ayiyo
Halakkuwappe hallixxa Ha laytta maldduwappe sinttata,Halakkuwaffe hassixxa Ha layxxa maldduwaffe sinxxatis
Harppan harqqumma Harggiyan bellumma,Harffam harqqumma Harggiyam bessummasu
Hannippe hanno baanawu hade shookka Udunxxiya tolbba shukkanawu yeechcha hiixxa,Hanniffe hanno baanawu hade hsokka Udunxxiya tolbba hsukkanawu yeechcha hiixxitte
Ha biittiyo zelluntta Genessiyo puggada wonzzetta,Ha biittiyo zessunxxa Gnessiyo puggada wonzzettis
Haattan eqqida mittiya hayttaa qaattawusu Woshuwa miida miizziya hoommuwa maaxxawusu,Haaxxam eqqida mittiya hayxxaa qaattes Wohsuwa miida miizziya hoommuwa maaxxes
Haaxa giddon harqqumma Shiya aqon sheenotta,Haaxa giddom harqqummawusu hsiya aqom hseenottes
Hirkki durumiyo icca Cuuchcha geela iyo oychcha,Hirkki durumiyo icca Cuuchcha geela iyo oychchawusu
Hannin halaala Halaali gorxxen gufanna,Hannim halaala Halaali gorxxem gufannasu
Hemmoy bin heemoy yees Hinggittay bin laadee yees,Hemmoy bim heemoy yes Hinggixxay bim laadee yasu
Hefinttan heezzu paray helluwa guppees Hafinttan heezzu mesqqeleetee katti kessees,Hefinxxam heezzu paray hessuwa guffiis Hafinxxam heezzu mesqqeleetee kaxxi kessas
Iraadoy hiittaa huuphessan uttidi yettaa yexxees Ne aaway tama xaphon uttidi shaashshaa shaayees,Iraadoy hiixxaa huuhpessam uttidi yexxaa yexxawus Ne aaway tama xahpom uttidi hsaahzhsaa hsaayasu
Kuri deriyan kurchkuicha Kunitiya hariyo xaqaya,Kuri deryam kurchkuicha Kunitiya hariya xaqaya
Laade giddon lakka Lagge giddon guuxxa,Laade giddom lakka Lagge giddom guuxxasu
Maaleppe mati baawa shin hemettin wurenna Maracceppe adussi baawa shi hare caanenna,Maaleffe mati baawa hsim hemettim wurnna Maracceffe adussi baawa hsi hare canenna
Masara maqaana Ne aayyiya kocaana,Masara maqna Ne aayyiya kocana
Maqawu baydda malalla Shiyawu baydda gereera,Maqawu bayzza malassa hsiyawu bayzza gereerawusu
Maqi mino ga gi ay Maahee aada gaada qaachchay?,Maqi mino ga gi ay Maahee aada gaada qaachchosonay?
Moqottaa mola Ne shooro moolliso gusuwa gana,Moqoxxaa mola Ne hsooro moossiso gusuwa ganite
Maaruwa caddin maattay kiyees Ne aawaa quunaa baqqin cuway kiyees,Maaruwa caddim maxxay kiyees Ne aawaa quunaa baqqim cuway kiyosona
Mara aqon maraara Kuuli aqon gereera,Mara aqom marara Kuuli aqom gereerawusu
Moqottaa massa Moytilliya heemma,Moqoxxaa massa Moytissiya heemmosona
Goofa uuttawu gobbi baa Macca assawu buuchchi baa,Goofa uuxxawu goobbi baa Macca assawu buchchi baa
Narppe suraa goyees Udunxxee zaakkuwa agees,Narffe suraa goyosona Udunxxee zaakkuwa agees
Ne uuttiya woozzin ufaytta Ne ussiya yelin suletta,Ne uuttiya woozzim ufayxxa Ne ussiya yelim sulexxasu
Ne paray gadiyan badala poppees Ne zaree ubba giyan ecere bayzzees,Ne paray gadiyam badala poffees Ne zaree ubba giyam etere bayzzasu
Ne gosiya gombbaa gonddorssa Geleshshuwa eenna qaxxara,Ne gosiya gombbaa gmddorssa Gelehzhsuwa eenna qaxxarasu
 Ne aawaappe wolqqaami baawa shin cuuchchaa wodoruwan onggees, Ne aawaaffe wolqqaami baawa hsim cuuchchaa wodoruwam onggees
Ne aayeeppe adussi baawa shin santtaa hinggittan menttawusu,Ne aayeeffe adussi baawe sim sanxxaa hinggixxa menttes 
Oroobi olla giddon oydiya masses Ne aaway oruwa giyan oshaa zal  ees,Oroobi ossa giddom oykiya maasses Ne aaway oruwa giyam ohsaa zal  awusu
Oha giddo ootta Occo gede meecca,Oha giddo ooxxa Occo gede meeccawusu
Ogeppe oge guppa Gusoppe asho maxa,Ogeffe oge guffasu Gusoffe aso maxes
Olawu baydda ogiya doga Occo bayzzaydda achchaa miiqqa,Olawu bayzza ogiya dogasu Occo bayzzayzza achchaa miiqqes
Pipiri piwu Pitidi wottido oleni liwuhu,Pipiri piwu Piitidi wottido oleni liwuuhu
Pudettan puutto zereiyakko ayba mokkanddee Ne dulliyan pila qolliyakko ayba caalanddee?,Pudexxam putto zereiyakko ayba mokkamddee Ne dussiyam pila qooliyakko ayba caalamddee?
Pudettaa puusha Pugariya laaxa/puggi yeddin wonzza,Pudexxaa puuhsa Pugariya laaxasu/puggi yeddim wonzzasu
Qambarrari qaaxxi woriyagee ta faraa Qaxxani adhdhidi qaxarasni bilando wuqiyage ne malla,Qambarrari qaaxxi woriyage ta faraa Qaxxani aggidi qaxarasni bilando wuqiyage ne massiyo
Qanttay adussaa Ne aawaa sunttay daalachchaa,Qanxxay addussaa Ne aawaa snxxay daalachchaa
Quuroy qunnu giis Quxarssaa baalle ne dulliyan xin i giis,Quuroy qunnu giis Quxarssaa baasse ne dussiyam xim i ges
Qambbaraari qaxxi woriyay ta paraa Qaxani aadhdhi qaxxaran bilanddo wuuqqiyay ne malaa,Qambbaraari qaxxi woriyay ta paraa Qaxani aaggi qaxxaram bilamddo wuuqqiyay ne maliyo
Qarxxaa qakka Qashuwa shiya,Qarxxaa qakka Qahsuwa hsiyawusu
Kocaa kokkorssa Loyti bazzuwan ne aawaa koshshaa lophphaya,Kocaa kokkorssa Loyti bazzuwam ne aawaa kohzhsaa lohphpayawusu
Kareppe kaltta ekka Kanappe anjjo ekka,Kareffe kalxxa ekkes Kanaffe anjjo ekkasu
Kaysoy Karen eqqiis Karay nena toolliis,Kaysoy Karem eqqiis Karay nena tossis
Salliya sattaa Sansamo kaniyo gilqqiyo xaqqaya,Sassiya saxxaa Sansmo kana gilqqiyo xaqqaya
Saluwa sanssalataa duutta Dufuwa dannatettaa ekka,Saluwa sanssalataa duuxxa Dufuwa dannatexxaa ekkawusu
Sitto sittaya Kaniyo lenddo lokkoma,Sitto sixxaya Kana lemddo lokkomes
Sooddon solola Soolaami duufuwan ilila,Sooddom solola Soolaami duufuwam ililes
Sunkkuruuto maada ayfe zo  a Sulullida shuchchen uttada suutta gusa,Sunkkuruuto mada ayfe zo  a Sulussida hsuchchem uxxada suuxxa guses
Suraa buuccin suray mokkees Ne aawaassi Sul  aa demmin ducay qaaxxees,Suraa buuccim suray mokkes Ne aawaassi Sul  aa demmim ducay qaaxxes
Shooqaa shottaya Shodhdhiya baaccira,hsooqaa hsoxxaya hsoggiya baaccires
Sussi sussa Xossi giikko ne michchiya taassa,Sussi sussa Xossi gikko ne michiya taassa
Saluwara yiyay santtime Nena naagayyay saxine,Saluwara yiyay santtme Nena nagayyay saxine
Ta boora woyishoyi ogiya bessin darawu simmes Ne dulle oyidiya bessin salluwa xellesi,Ta boora woyihsoyi ogiya bessim darawu simmawusu Ne dusse oyidiya bessim sassuwa xessas
Tunggaara yiyay tulle garawa Ne aaway ta aawaayyo tukke jabana,Tunggaara yiyay tule garawa Ne aaway ta aawaayyo tukke jabna
Ta gade uuttiya badaade Ne aayee aayyiya godare,Ta gade uuttiya baddade Ne aayee aayyiya goodare
Ta baaciya buuchchura buuchchawu ita Mul  uwa miida genessiya gufawu iita,Ta baaciya buuchchura buchawu ita Mul  uwa miida genessiya gufawu iites
Ta deeshshaa kem  elechchi kocaana Ne aawaa inchchirichchay inddaana,Ta deehzhsee kem  elechchi kocaana Ne aawaa inccirichay imddaana
Ta kareppe buuccaydda buuccaydda ne kare gatta Ne sorggiya qoxxaydda qoxxaydda gillaa kuntta,Ta kareffe buuccayzza buuccayzza ne kare gaxxawusu Ne sorggiya qoxxayzza qoxxayzza gissaa kunttes
Uuttiya urgguggo Udunxxiya Buyyutto,Uuttiya urguggo Udnxxiya Buyyutto
Uutta giddon de'iya shuchchyo iri bochchi erenna Ne aayyiya kattiyo qumaa giddon zaree xayi erenna,Uuxxa gidom de'iya hsuchchyo iri bochchi erenna Ne aayyiya kattiyo qumaa giddom zare xayi erenna
Ussiyo sussan goochcha Giishshaa xuggan ba  a,Ussiyo sussam goochchawusu Giihzhsaa xuggm ba  a
Utulaa qakkada umaa pintta Udunxxiya laaggada wudiya gatta,Utulaa qakkada umaa pinttes Udunxxiya laaggada wudiya gaxxawusu
Wogaso woxxa gella Wogaciya Oonu shiyaa cukka ekka,Wogaso woxxa gelaa Wogaciya Oonu hsiyaa cukka ekkawusu
Wogga Giyani woxxereta Kane buchchi qessan palametta,Wogga Giyani woxxerta Kane buchchi qessam palamettosona
Wolaa bolla uttada wonnuwa cadda Ne aawaa worada baliya kessa,Wolaa bossa uxxada wonuwa cadda Ne aawaa worada baliya kessasu
Wolaa wooca Bo  aa zuuqqa,Wolaa wooca Bo  aa zuuqqasu
Wolaa woociyosaa wodallay erees Sheeshshay uttiyosaa udunxxee erees,Wlaa woociyosaa wodassay erees hseehzhsay uttiyosaa udunxxee erawus
Wolay woddiiddi woddiiddi sa aa gakkees Ne aaway ceeggiiddi ceeggiddi kaciya kessees,Wolay woddiiddi woddiiddi sa aa gakkis Ne aaway ceeggiiddi ceeggiddi kaciya kessawus
Woxxaa woxxada wolan shemppa Gusaa gusada aban zeera,Woxxaa woxada wolam hsemffa Gusaa gusada abam zeerawus
Wonddo wolaa huphiyan de'iya wonno qooraasee Sooddo sawee dulliyan de'iyay daama udunxxee,Womddo wolaa huhpiyam de'iya wono qooraasee Sooddo sawee duliyam de'iyay dama udunxxee
Wooren zero wooriyo milatawusu Wolen uttida geleshshiya ne aayyiyo milatawusu,Woorem zero wooriyo milatawusu Wolem uttida gelehzhsiya ne aayyiyo milates
Wolaa kafiya wociico Ne aayee sunttay hidooto,Wolaa kafiya wociica Ne aayee sunxxay hidoota
Wora giddon woxeretta Worqqi gusuwan hottoretta,Wora giddom woxereta Worqqi gusuwam hottorettes
Wogga woraa woxxa gela Ta kana waaru dulliya tookka yera,Wogga woraa woxa gela Ta kana waaru dussiyo tookka yera
Woloolu woraara yees Wonttay bazzuwara yees,Woloolu worara yees Wonxxay bazzuwara yiis
Wolan uttada wodoro dooqqa Baliyan uttada badala coomma,Wolam uxxada wodoro doqa Baliyam uxxada badala coommawus
Woxxaa woxxada wodhdha utta Yelaa yelada mela atta,Woxxaa woxxada wogga uttis Yelaa yelada mela axxasu
Xoossaa galati gakko Ne aawaa gappati sakko,Xoossaa galati gako Ne aawaa gaffati sakkess
Zagon zazzalo Zambban xalahe,Zagom zazalo Zambam xalahe
Mussay muca kanaa worees,Mussay mucca kanaa worasu
kinddo diidaye Allaanaa zali  iyaanne issipetetta xlkeettay Goshshanchchiya mooretiben,kimddo diidaye Assaanaa zali  iyaamme issipetexxa xlkeexxay Gohzhschchiya mooretibenna 
 Tukiyaa zali   e Eenotay de  iyoogeetussi bayzana koshshiyooge qonccis, Tukiyaa zali   e Eenotay de  iyoogeetussi bayzana kohzhsiyooge qoncces
Oofa Allaanaan  danuwaa poliidda assatu bolli qashshuwaa pirdday immttidooge qonccas,Oofa Assaanaam  danuwaa foliidda assatu bossi qahssuwaa firdday immttidooge qonccas
Humbbo Allaana luxxeta xlkeettay 6tto yuusho luxxeta ya   aa poliis,Humbbo Assaana luxxeta xlkeexxay 6tto yuuhso luxxeta ya   aa polas
Luxxeta yo   otuunkka tobbe oosetiis,Luxxeta yo   otuunkka tobe oosetes
Hara bagaan macca naatu yammaa sintta xeera luxettaa keettay woytetiis,Harabagaam macca naatu yammaa  sinxxa xeera luxexxaa ketay woytetiis
Bodditte ambban zali  iyanne undustturiyaa xafo keettay yaa  ay polletes,Boddixxe ambbam zali  iyamme undustturiyaa xafo keexxa yaa  ay possetes
Bolooso Soore Allaanan giyo maaddo eqqottay ha Allaanaan geeshshatettay naagetidooga ,Bolooso Soore Alanam giyo maaddo eqqoxxay ha Alanaam geehzhsatexxay naages 
paya murutissiyaa dere asaa medhdhanawu 25 miloone maraccuwaappe eqottaa meeshiis,paya murutissiyaa dere asaa megganawu 25 miloone maracuwaaffe eqoxxaa meehsasu
 manta ayalla Tamasgeeni yootoogaadaan Geeshsha haattaa asawu gattanawu oottiis, manta ayassa Tamasgeeni yootoogaadaam Geehzhsa haaxxaa asawu gaxxanawu ooxxasu  
39pultotta meeshi ushshawu giigissoogaa mantta Tamasgeeni qonccissiis, 39pultoxxa meehsi uhzhsawu giigissoogaa manxxa Tamasgeeni qonccissasu
Hegaarakka 20 kilo mitire haattaa yafaraa miccidi pultotta aasiyoo oosota gujjis,Hegaarakka 20 kilo mitire haaxxaa yafaraa micidi pultoxxa aasiyoo oosota gujjes
 ciimma wolqaan ootiyaa ollatta 1 5 haattaa boonota giigissidi haggaazzaa dere asaassi imiis, ciimma wolqaam ootiyaa ossaxxa 1 5 haaxxaa boonota giigissidi hagaazaa dere asaassi imietiis
 Arakka Ambbaanne Allaanaa yuusho  luxetaa keexxettiis geeshsha haattaa uyiidi de   ees,Arakka Ambbaamme Assaanaa yuuhso  luxetaa kexexxiis geehzhsa haaxxaa uyiidi de   ees
sheeshsha keettata keexidoogaa yootida eqotaa gadaawaay kushiyaan sugiyoo haattaa pomppetta giigissis,seehzhsa keetxxa keexidogaa yootida eqotaa gadaawaa  kuhsiyaa sugiyoo haaxxaa pomffexxa giigissasu 
Allaanaa simma gadawaa mantta Damaqa Dajani ba baggaan ha  giyoo eqottay ootis ,Assaanaa simma gadawaa manxxa Damaqa Dajani ba baggaam ha  giyoo eqoxxay ootiddoosona 
aaho offinttaa oosota nashidi goshshanchatu xellaa xoqissiyaa sheesha keettata keexxetiis,aaho offinxxaa oosota nahsidi gohzhsanchatu xelaa xoqissiyaa hsehsa keexxata keexxetiis
~eeccetiYoo keettata giigissidi ettaan suure go   etanaadann ootida shuchatussi keetaappe yiidabba,~eeccetiYoo keetata giigissidi exxaam sure go   etanaadanm ootida hsuchatussi keetaaffe yiidabba
Wolaytta mootan dumma dumma zannaqqa sohootti bettoosonna  ,Wolayxxa mootam dumma dumma zannaqqa sohooxxi bexxana 
adhdhidha adussa wodettuyoo surre naagiddi kalliyaa  gishsha giidiyoogee qoncciis,aggidha adussa wodettuyoo surre naggdi kassiyaa  aahzhsa giidiyoogee qonccess
Derriyaa garssan beettiyaa xellaa mettoykka ba gishsha oyqqiyoogee mallattettiis,Derriyaa garssam beettiyaa xelaa mettoykka ba gihzhsa oyssiyoogee massattettidosona
"mantta Lissannu w/mariammi yoottogaddan woga,hayddanne zannaqqatta Turrisstettuyoo yemmoyiyaaga ","manxxa Lissannu w/mariammi yoottogaddam woga,hayzzamme zannaqqaxxa Turrisstettuyoo yemmoyiyeta"
oottiddi kalliyaa yellettawu attannawu gishshawaturaa hashshettiddi oottennaa yaagidoosona,oottiddi kassiyaa yessexxawu attnawu gihzhsawaturaa hahzhsettiddi oottennaa yaagis
Wogay dichchawu baso gaddiyooga naqashshidda gadaway innjee hanootan qonccissiis,Wogay dichchawu baso gaddiyooga naqahsidda gadaway innjee hanootam qonccissosona
 woga yushshuwaan murutta oosuwaa oottena koshshiiyoogaa qonccissidoosona, woga yuhzhsuwaam murta oosuwaa oottena kohzhsiiyoogaa qonccissis
Zannaqqa yushshuwaan turristtetti yiidi shemppiyoo sohuwaa oottiis,Zannaqqa yuhsuwaam turristtexxi yiidi hsemffiyoo sohuwaa ooxxasu
  dumma dumma zannaqqa sohuttaa nagannawu koshshes,  dumma dumma zanaqqa sohuxxaa nagnawu kohzhses
mallattiddi appe bettiyaa mishshakka dichchannawu baxxiyya oottenawu koshshiyooga Galchchay qoofaa shakkiis,massattiddi affe bettiyaa mihzhsakka dichannawu baxxiyya oottenawu kohzhsiyooga Galchchay qoofaa hsakkes
gallassawu takkidda yaa   an payddoy 120 giddiyaa 12 Allannatuppenne 3 Ambba Ayssota hanqetis,gassassawu takkidda yaa   am paykkoy 120 giddiyaa 12 Assannatuffemme 3 Ambba Ayssota hanqettidosona
ubbakka kallettaa oosanchchatti bettiddooga w/c/sohuwan bettiddi naqqashshiis,ubbakka kassexxaa oosanccaxxi bettdooga w/c/sohuwam bettiddi naqqahzhsasu
Maccaassaanne qeeri naatu xlkeettay Awinne aya baynna mettotanchcha guutta naatussi kaafee oosetiis,Maccaassaamme qeeri naatu xlkeexxay Awimme aya baynna mtotancca guxxa naatussi kaafee oosetiis
Guutta naatussi dere asay suure xeellaa immidi maadana bessiyoogee malaatetiis,Guuxxa naatussi dere asay suure xelaa immidi maadana bessiyoogee malaatetasu
Oofa Allaanaan bettes,Oofa Alanaam bexxasu
Toophphiyaa Ano seeray guutta naatu maattaanne etta go   aabaa maaccees,Toohphpiyaa Ano seeray guxxa naatu maaxxaamme exxa go   aabaa maaccasu
Salo gufantto xekkaankka hegaadaan,Salo gufantto xekankka hegaadaan
gofa Allaanaan maccasaanne qeeri naatu x/keettaykka anno seeraa kaaletaanne guutta naatu maataa basso ootiis  ,gofa Assaanaam maccasaamme qeri naatu x/keexxaykka anno seeraa kaaletaamme guuxxa naatu maataa basso ootasu  
dumma dumma  kawo ooso keettatuura gididi guutta naata kaafiyoo oosoti polletidoogee qonccis,dumma dumma  kawo ooso keexxatuura gididi guta naata kaafiyoo oosoti possetidoogee qoncces
Kawo bagga giden na'eqotatikka ha suure halchuwaassi maadetiddosona,Kawo bagga giden na'eqotatikka ha sure halchuwaassi maadetis
Ettawu maayuwaa shaamidi yeziyoonne haa kaafeti ha maadiyaabi bayna guuta naatussi oosetiis,Exxawu maayuwaa hsaamidi yeziyoomme haa kaafeti ha maadiyaabi bayna guuta naatussi oosets
Mantta Tangga Taaye he ooso keettaan qeeri naatu sarotettaa naagiyaa ooso buussaa gadaaway googaadaan,Manxxa Tangga Taaye he ooso ketaam qeeri naatu sarotexxaa naagiyaa ooso buussaa gadaawiy googaadaan
naatussi 2003 ML n doomidi kummeta maaduwaa ootiidi beetees,naatussi 2003 ML m doomidi kummeta maduwaa ootiidi beetawus
Allaanaan dumma dumma kawo ooso keetatikka qoodaan 9 qeeri naatussi kaafiyaa ootidoogee eretiis,Assaanaam dumma dumma kawo ooso keetatikka qoodaam 9 qeeri naatussi kafiyaa ootidoogee eretis
Biittiyoo sintanawu sheeretiyaa yellaga ciishshata kaafiyoogaa baggaan ubbi bari a1a1iYaa kiyaana besees!,Biittiyoo sintanawu hseretiyaa yessaga ciihzhsata kaafiyoogaa baggaam ubbi bari a1a1iYaa kiyaana besos!
Soore Allaanan 2004 ML 1 ro missa layttan muleera 10215 asaasi higgiyaa akeekaa xoqqissiyo timirtte imettiis ,Soore Assaanam 2004 ML 1 ro missa layxxanmuleera 10215 asaasi higgiyaa akekaa xoqqissiyo timirxxe imettes 
ha allaanan tumatettaa xifate keettan higge xinaatiyaa piligetta giigissiyaanne akeekaa medhdhiis ,ha assaanam tumatexxaa xifate keexxam higge xinaatiyaa pilgexxa giigissiyaamme akeekaa meggidosona 
oosuwaa buussa kaalettiyaa mantta Dejena Senbbatu qonccisidosona,oosuwaa buussa kaaltiyaa manxxa Dejena Senbbatu qonccis
uttidoogaa higgiyaa xinaatiyaa,uttidoogaa higiyaa xinatiyaa
naqashshay qoncciissis,naqahzhsay qoncciisidosona
"Allaanaan oosettida 1 9ntto timmirtte konsonuwaan Allaanay 3,886,937 birra oosuwaan peshshiis  ","Assaanaam oosettida 1 9ntto timmirxxe konsonuwaam Assaanay 3,886,937 birra oosuwaam pehzhsasu  "
allaana Timmirtte xafo keettaa gadaway Mantta Tammirat Tangi qonccissidoosaona,assaana Timmirxxe xafo keexxaa gadway Manxxa Tammirat Tangi qonccissis
"Gadaway qonccissiddi ha bollara qonccissidoo xoqqa mishshay deriyaappe, allanna kawottettappe, sa a gufantto bankkiyappenne  bettidoogaa naqashidoosona",", assanna kawottexxaffe, sa a gufantto bankkiyaffemme  bettidoogaa naqahsis"
2014ML Timmirtte xifate keettaa oosuwaa halchchuwaanne poluwaa,2014ML Timmirxxe xifate ketaa oosuwaa halchchuwaa poluwaa
 Halchchuwaa yigi xelliyoo wodiyaankka gastta timirttiyaa minnuwaan tamaarissiddi shaaccidoogaa  Galchchay mayiis, Halcchuwaa yiiigi xessiyo wodiynkka gastxxa timirttiyyyaa minnuwaa tamaarissiddi hsaaccidoogaa Galchcay mayasu
 10ntta kiffiliya naattu oosoy mella attoosappe ha doomiin dumma dumma gishshawatti oottiddo baxxiyaan adhdhidha ,10nxxa kiffiliya naattu oosoy messa attoosaffe ha doomiim dumma dumma gihzhsawaxxi oottiddo baxxiyaam aggidha 
" lame yiddoogaa giddishshin hegawukkaa astemmaretta, allanna kawottettaa, temmarettanne timmirtte xafo keettaa gallettettidoosona"," laaame yiddoogaa gdihzhsi hegawukkaa astemmarettxxa, assanna kawottixxaa, temmarexxamme timmirxxe xafo keexxaa gassettettis"
halchchuwa poolluwawukka arruwaan qaxxannawu koshshees yaggidosona, halchchuwa poossuwawukka arwaam qaxxannawu kohzhsees yaggasu
"2tto xeekka timmirtte keettattuppe, astemmarettuppe sohuwan beettiddi naqashshiis"," 2tto xeekka timmirxxe keexxattuffe, astemmarettuffe sohuwam betiddi naqahzhsasu"
" Aysuwaa yaa  aan deree hashshettidi 1, 129,450 biraappe bollaan timirtte keettatu yuushuwaa dirssaay diretiis "," Aysuwaa yaa  aam deree hahzhsettidi 1, 129,450 biraaffe bossaam timirxxe ketatu yuuhsuwaa dirssaay diretes "
Dera asay hashshettidi keexxidoogaanne ootidooga allaanaan sima ayssiyiyaagee Dejenne qonccissidosona,Dera asay hahzhsettidi keexxidogamme ootidooga assaanaam sima ayssiyiyaagee Dejemme qonccissis
oottiiddi shaaccidoogaaka yootidoosona,ooxxiiddi hsaaccidoogaaka yootidoosona
